06/12 22:44:00 FINE sim.Admin|Log for simulation 75 started
************************************************************
* Log for simulation 75 started
************************************************************


06/12 22:44:00 INFO sim.TACAdxSimulation|TACAA Simulation 75 is setting up...
06/12 22:44:00 INFO sim.TACAdxSimulation|Created Adx Agent
06/12 22:44:00 INFO sim.TACAdxSimulation|Created Demand Agent
06/12 22:44:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
06/12 22:44:00 FINE sim.ExternalAgent|sample setup with address adv1
06/12 22:44:00 FINE sim.ExternalAgent|agent00 setup with address adv2
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
06/12 22:44:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
06/12 22:44:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
06/12 22:44:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
06/12 22:44:00 INFO agents.DemandAgent|setting up...
06/12 22:44:00 FINE agents.DemandAgent|Finished setup
06/12 22:44:00 INFO sim.Simulation|***** START OF TIME 0 *****
06/12 22:44:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1561835007, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, OLD], videoCoef=2.103234806249378, mobileCoef=1.5417048154145658, budgetMillis=10490, advertiser=adv1]
06/12 22:44:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4dc80a6c event: tau.tac.adx.messages.UserClassificationServiceNotification@53d0402d
06/12 22:44:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1475337871, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.6352648174290336, mobileCoef=1.8676492209098452, budgetMillis=7020, advertiser=adv2]
06/12 22:44:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4dc80a6c event: tau.tac.adx.messages.UserClassificationServiceNotification@12ed4a16
06/12 22:44:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1924509177, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.803102145622657, mobileCoef=2.2483288041812917, budgetMillis=3037, advertiser=DummyAdnetwork]
06/12 22:44:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4dc80a6c event: tau.tac.adx.messages.UserClassificationServiceNotification@23355aaa
