03/12 10:23:00 FINE sim.Admin|Log for simulation 39 started
************************************************************
* Log for simulation 39 started
************************************************************


03/12 10:23:00 INFO sim.TACAdxSimulation|TACAA Simulation 39 is setting up...
03/12 10:23:00 INFO sim.TACAdxSimulation|Created Adx Agent
03/12 10:23:00 INFO sim.TACAdxSimulation|Created Demand Agent
03/12 10:23:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
03/12 10:23:00 FINE sim.ExternalAgent|trial1 setup with address adv1
03/12 10:23:00 FINE sim.ExternalAgent|ibm setup with address adv2
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
03/12 10:23:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
03/12 10:23:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
03/12 10:23:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
03/12 10:23:00 INFO agents.DemandAgent|setting up...
03/12 10:23:00 FINE agents.DemandAgent|Finished setup
03/12 10:23:00 INFO sim.Simulation|***** START OF TIME 0 *****
03/12 10:23:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=625603074, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.404703361722559, mobileCoef=1.656978793083859, budgetMillis=6507, advertiser=adv1]
03/12 10:23:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@2b8e08db
03/12 10:23:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=800168306, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.117800429751743, mobileCoef=2.098501376387146, budgetMillis=1932, advertiser=adv2]
