05/12 07:31:00 FINE sim.Admin|Log for simulation 68 started
************************************************************
* Log for simulation 68 started
************************************************************


05/12 07:31:00 INFO sim.TACAdxSimulation|TACAA Simulation 68 is setting up...
05/12 07:31:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/12 07:31:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/12 07:31:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/12 07:31:00 FINE sim.ExternalAgent|trial1 setup with address adv1
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/12 07:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/12 07:31:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/12 07:31:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/12 07:31:00 INFO agents.DemandAgent|setting up...
05/12 07:31:00 FINE agents.DemandAgent|Finished setup
05/12 07:31:00 INFO sim.Simulation|***** START OF TIME 0 *****
05/12 07:31:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=65928779, reachImps=9077, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.4929981572954554, mobileCoef=2.100982193579786, budgetMillis=9077, advertiser=adv1]
05/12 07:31:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@1083025b event: tau.tac.adx.messages.UserClassificationServiceNotification@d2a1046
