03/12 09:00:00 FINE sim.Admin|Log for simulation 32 started
************************************************************
* Log for simulation 32 started
************************************************************


03/12 09:00:00 INFO sim.TACAdxSimulation|TACAA Simulation 32 is setting up...
03/12 09:00:00 INFO sim.TACAdxSimulation|Created Adx Agent
03/12 09:00:00 INFO sim.TACAdxSimulation|Created Demand Agent
03/12 09:00:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
03/12 09:00:00 FINE sim.ExternalAgent|trial1 setup with address adv1
03/12 09:00:00 FINE sim.ExternalAgent|ibm setup with address adv2
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
03/12 09:00:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
03/12 09:00:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
03/12 09:00:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
03/12 09:00:00 INFO agents.DemandAgent|setting up...
03/12 09:00:00 FINE agents.DemandAgent|Finished setup
03/12 09:00:01 INFO sim.Simulation|***** START OF TIME 0 *****
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1896539415, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, OLD], videoCoef=2.3563668463397924, mobileCoef=2.4688309049836525, budgetMillis=10490, advertiser=adv1]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@6189b355
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1690139002, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.5017243581144477, mobileCoef=2.247118892170479, budgetMillis=3312, advertiser=adv2]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@613f0d01
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=200068552, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[FEMALE, YOUNG], videoCoef=2.149014348795471, mobileCoef=2.3617907290085967, budgetMillis=5590, advertiser=DummyAdnetwork]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@2753d4fb
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=682233794, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, OLD], videoCoef=2.288815094756277, mobileCoef=1.9922358375828717, budgetMillis=10490, advertiser=DummyAdnetwork-2]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@31e448d3
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1552634282, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.2920397923886457, mobileCoef=1.7828688666026908, budgetMillis=1932, advertiser=DummyAdnetwork-3]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@65c6a2cc
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=501904809, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.865108530882077, mobileCoef=1.991613782295441, budgetMillis=7020, advertiser=DummyAdnetwork-4]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@edb0417
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=148574823, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.3595169568408334, mobileCoef=2.449385237350417, budgetMillis=5882, advertiser=DummyAdnetwork-5]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@58db1172
03/12 09:00:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=382886141, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.4834951154449287, mobileCoef=1.9337212231333218, budgetMillis=7020, advertiser=DummyAdnetwork-6]
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@10b79c31
03/12 09:00:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@15e7d352
03/12 09:00:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=739100455, reachImps=9900, dayStart=2, dayEnd=11, targetSegment=[LOW_INCOME, FEMALE, YOUNG], videoCoef=2.089997190075171, mobileCoef=1.7421349627051517, budgetMillis=0, advertiser=null]
03/12 09:00:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.18522697565374086 Cmp ID: 739100455 Cmp Bid: 9880
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.17489434114293706 Cmp ID: 739100455 Cmp Bid: 4556
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.17772053364874466 Cmp ID: 739100455 Cmp Bid: 5305
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.10994619782094767 Cmp ID: 739100455 Cmp Bid: 9897
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.11951209823814533 Cmp ID: 739100455 Cmp Bid: 8139
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.18767565894213345 Cmp ID: 739100455 Cmp Bid: 8565
03/12 09:00:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv2 : UCS Bid: 0.2 Cmp ID: 739100455 Cmp Bid: 990
03/12 09:00:10 INFO sim.Simulation|***** START OF TIME 1 *****
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #200068552 at price 5.59
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #200068552 at price 5.59
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #682233794 at price 10.49
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #682233794 at price 10.49
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1552634282 at price 1.932
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1552634282 at price 1.932
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #501904809 at price 7.02
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #501904809 at price 7.02
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #148574823 at price 5.882
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #148574823 at price 5.882
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #382886141 at price 7.02
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #382886141 at price 7.02
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1896539415 at price 10.49
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1896539415 at price 10.49
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1896539415 at price 10.49
03/12 09:00:10 INFO demand.CampaignImpl|Applied total limit for campaign #1896539415 at price 10.49
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv2
03/12 09:00:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1690139002 at price 3.312
03/12 09:00:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1690139002 at price 3.312
03/12 09:00:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=739100455, reachImps=9900, dayStart=2, dayEnd=11, targetSegment=[LOW_INCOME, FEMALE, YOUNG], videoCoef=2.089997190075171, mobileCoef=1.7421349627051517, budgetMillis=0, advertiser=null]
03/12 09:00:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0adv2: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
03/12 09:00:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=739100455, reachImps=9900, dayStart=2, dayEnd=11, targetSegment=[LOW_INCOME, FEMALE, YOUNG], videoCoef=2.089997190075171, mobileCoef=1.7421349627051517, budgetMillis=9880, advertiser=DummyAdnetwork]
03/12 09:00:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] adv2[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
03/12 09:00:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@43553d8b event: tau.tac.adx.messages.UserClassificationServiceNotification@38a72358
