06/12 22:18:00 FINE sim.Admin|Log for simulation 71 started
************************************************************
* Log for simulation 71 started
************************************************************


06/12 22:18:00 INFO sim.TACAdxSimulation|TACAA Simulation 71 is setting up...
06/12 22:18:00 INFO sim.TACAdxSimulation|Created Adx Agent
06/12 22:18:00 INFO sim.TACAdxSimulation|Created Demand Agent
06/12 22:18:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
06/12 22:18:00 FINE sim.ExternalAgent|sample setup with address adv1
06/12 22:18:00 FINE sim.ExternalAgent|agent00 setup with address adv2
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
06/12 22:18:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
06/12 22:18:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
06/12 22:18:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
06/12 22:18:00 INFO agents.DemandAgent|setting up...
06/12 22:18:00 FINE agents.DemandAgent|Finished setup
06/12 22:18:01 INFO sim.Simulation|***** START OF TIME 0 *****
06/12 22:18:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=568097685, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.7777780348818815, mobileCoef=1.797541495732343, budgetMillis=7020, advertiser=adv1]
06/12 22:18:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@228c53a5 event: tau.tac.adx.messages.UserClassificationServiceNotification@75c983f1
06/12 22:18:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1037419953, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.2610045016678586, mobileCoef=1.9634110101067712, budgetMillis=1657, advertiser=adv2]
06/12 22:18:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@228c53a5 event: tau.tac.adx.messages.UserClassificationServiceNotification@5a22e0ae
06/12 22:18:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=452165940, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.4067640246159336, mobileCoef=1.7910506062931941, budgetMillis=3312, advertiser=DummyAdnetwork]
06/12 22:18:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@228c53a5 event: tau.tac.adx.messages.UserClassificationServiceNotification@231c4f90
06/12 22:18:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=813166095, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.848635823391669, mobileCoef=1.9127193053173666, budgetMillis=5882, advertiser=DummyAdnetwork-2]
