03/12 09:19:00 FINE sim.Admin|Log for simulation 34 started
************************************************************
* Log for simulation 34 started
************************************************************


03/12 09:19:00 INFO sim.TACAdxSimulation|TACAA Simulation 34 is setting up...
03/12 09:19:00 INFO sim.TACAdxSimulation|Created Adx Agent
03/12 09:19:00 INFO sim.TACAdxSimulation|Created Demand Agent
03/12 09:19:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
03/12 09:19:00 FINE sim.ExternalAgent|trial1 setup with address adv1
03/12 09:19:00 FINE sim.ExternalAgent|ibm setup with address adv2
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
03/12 09:19:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
03/12 09:19:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
03/12 09:19:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
03/12 09:19:00 INFO agents.DemandAgent|setting up...
03/12 09:19:00 FINE agents.DemandAgent|Finished setup
03/12 09:19:01 INFO sim.Simulation|***** START OF TIME 0 *****
03/12 09:19:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2087772797, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.824127581086639, mobileCoef=1.6827164018153948, budgetMillis=3312, advertiser=adv1]
03/12 09:19:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5b3acf31 event: tau.tac.adx.messages.UserClassificationServiceNotification@10195f7f
03/12 09:19:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2105673686, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.148951589613679, mobileCoef=1.7334786404898477, budgetMillis=3312, advertiser=adv2]
03/12 09:19:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5b3acf31 event: tau.tac.adx.messages.UserClassificationServiceNotification@57415691
