04/12 10:34:00 FINE sim.Admin|Log for simulation 61 started
************************************************************
* Log for simulation 61 started
************************************************************


04/12 10:34:00 INFO sim.TACAdxSimulation|TACAA Simulation 61 is setting up...
04/12 10:34:00 INFO sim.TACAdxSimulation|Created Adx Agent
04/12 10:34:00 INFO sim.TACAdxSimulation|Created Demand Agent
04/12 10:34:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
04/12 10:34:00 FINE sim.ExternalAgent|trial1 setup with address adv1
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
04/12 10:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
04/12 10:34:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
04/12 10:34:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
04/12 10:34:00 INFO agents.DemandAgent|setting up...
04/12 10:34:00 FINE agents.DemandAgent|Finished setup
04/12 10:34:00 INFO sim.Simulation|***** START OF TIME 0 *****
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1905201466, reachImps=9077, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.881726394756825, mobileCoef=2.404003654461597, budgetMillis=9077, advertiser=adv1]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@7f48f17b
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2071427658, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.2538531995020388, mobileCoef=2.311360486754579, budgetMillis=9540, advertiser=DummyAdnetwork]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@3e75fb40
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=939146101, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.4231024560623364, mobileCoef=1.8882408904864425, budgetMillis=3312, advertiser=DummyAdnetwork-2]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@f01c7d8
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1331976536, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.1937458751198804, mobileCoef=1.7436584458363091, budgetMillis=1657, advertiser=DummyAdnetwork-3]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@5e5a040f
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=941468962, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.9638320881816282, mobileCoef=2.23700866494812, budgetMillis=3037, advertiser=DummyAdnetwork-4]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@39a382fe
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1415623179, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.2450231316634737, mobileCoef=2.480847981037981, budgetMillis=9540, advertiser=DummyAdnetwork-5]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@5a14bef4
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=255163433, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, OLD], videoCoef=2.1287704217314896, mobileCoef=2.0573565985046356, budgetMillis=10490, advertiser=DummyAdnetwork-6]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@2aa4bb43
04/12 10:34:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2063967478, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.189517889845803, mobileCoef=1.6309630595341376, budgetMillis=10952, advertiser=DummyAdnetwork-7]
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@419567c
04/12 10:34:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@127b3a11 event: tau.tac.adx.messages.UserClassificationServiceNotification@2069a6e2
04/12 10:34:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=790134543, reachImps=25220, dayStart=2, dayEnd=11, targetSegment=[FEMALE], videoCoef=2.3431174134516395, mobileCoef=2.3027362854721667, budgetMillis=0, advertiser=null]
04/12 10:34:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
