07/12 00:53:00 FINE sim.Admin|Log for simulation 91 started
************************************************************
* Log for simulation 91 started
************************************************************


07/12 00:53:00 INFO sim.TACAdxSimulation|TACAA Simulation 91 is setting up...
07/12 00:53:00 INFO sim.TACAdxSimulation|Created Adx Agent
07/12 00:53:00 INFO sim.TACAdxSimulation|Created Demand Agent
07/12 00:53:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
07/12 00:53:00 FINE sim.ExternalAgent|sample setup with address adv1
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
07/12 00:53:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
07/12 00:53:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
07/12 00:53:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
07/12 00:53:00 INFO agents.DemandAgent|setting up...
07/12 00:53:00 FINE agents.DemandAgent|Finished setup
07/12 00:53:01 INFO sim.Simulation|***** START OF TIME 0 *****
07/12 00:53:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=293908177, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[FEMALE, YOUNG], videoCoef=2.211318880248715, mobileCoef=1.9341275660213768, budgetMillis=5590, advertiser=adv1]
07/12 00:53:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@e720c41 event: tau.tac.adx.messages.UserClassificationServiceNotification@23bbf22b
