03/12 11:29:00 FINE sim.Admin|Log for simulation 45 started
************************************************************
* Log for simulation 45 started
************************************************************


03/12 11:29:00 INFO sim.TACAdxSimulation|TACAA Simulation 45 is setting up...
03/12 11:29:00 INFO sim.TACAdxSimulation|Created Adx Agent
03/12 11:29:00 INFO sim.TACAdxSimulation|Created Demand Agent
03/12 11:29:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
03/12 11:29:00 FINE sim.ExternalAgent|ibm setup with address adv1
03/12 11:29:00 FINE sim.ExternalAgent|trial1 setup with address adv2
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
03/12 11:29:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
03/12 11:29:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
03/12 11:29:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
03/12 11:29:00 INFO agents.DemandAgent|setting up...
03/12 11:29:00 FINE agents.DemandAgent|Finished setup
03/12 11:29:00 INFO sim.Simulation|***** START OF TIME 0 *****
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=270167268, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.613087200876724, mobileCoef=2.000784197357551, budgetMillis=9540, advertiser=adv1]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@1edd9097
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=451020692, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.8576998990776583, mobileCoef=1.5272530053032756, budgetMillis=1932, advertiser=adv2]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@5fe09aac
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=475967736, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0133443821357506, mobileCoef=2.214962327907014, budgetMillis=9540, advertiser=DummyAdnetwork]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@6e75c2cc
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1679930929, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, FEMALE], videoCoef=2.8712555107733873, mobileCoef=1.596041975501346, budgetMillis=10952, advertiser=DummyAdnetwork-2]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@3fcf65e3
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1459604370, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.7605701461216383, mobileCoef=2.372067137794039, budgetMillis=1932, advertiser=DummyAdnetwork-3]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@165c1023
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2133179623, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.8747986620357473, mobileCoef=1.9350393699877864, budgetMillis=10490, advertiser=DummyAdnetwork-4]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@3b813e9d
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=319476004, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.519955295186084, mobileCoef=2.2033728914606625, budgetMillis=3312, advertiser=DummyAdnetwork-5]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@6521166e
03/12 11:29:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=925981865, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.6959270661619947, mobileCoef=2.1319087779678467, budgetMillis=1657, advertiser=DummyAdnetwork-6]
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@5f6e904
03/12 11:29:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@40b09b6f
03/12 11:29:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=760182641, reachImps=610, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, OLD, FEMALE], videoCoef=2.1110927607922525, mobileCoef=1.8295289308326157, budgetMillis=0, advertiser=null]
03/12 11:29:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.13548476477801946 Cmp ID: 760182641 Cmp Bid: 34
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.15280314289878683 Cmp ID: 760182641 Cmp Bid: 330
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.10237937229608127 Cmp ID: 760182641 Cmp Bid: 544
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.11231867228534288 Cmp ID: 760182641 Cmp Bid: 175
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.19075246315480107 Cmp ID: 760182641 Cmp Bid: 490
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.15288039564039285 Cmp ID: 760182641 Cmp Bid: 223
03/12 11:29:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.2 Cmp ID: 760182641 Cmp Bid: 61
03/12 11:29:10 INFO sim.Simulation|***** START OF TIME 1 *****
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #475967736 at price 9.54
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #475967736 at price 9.54
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1679930929 at price 10.952
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1679930929 at price 10.952
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1459604370 at price 1.932
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1459604370 at price 1.932
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2133179623 at price 10.49
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #2133179623 at price 10.49
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #319476004 at price 3.312
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #319476004 at price 3.312
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #925981865 at price 1.657
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #925981865 at price 1.657
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #270167268 at price 9.54
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #270167268 at price 9.54
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv2
03/12 11:29:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #451020692 at price 1.932
03/12 11:29:10 INFO demand.CampaignImpl|Applied daily limit for campaign #451020692 at price 1.932
03/12 11:29:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=760182641, reachImps=610, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, OLD, FEMALE], videoCoef=2.1110927607922525, mobileCoef=1.8295289308326157, budgetMillis=0, advertiser=null]
03/12 11:29:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0adv2: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
03/12 11:29:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=760182641, reachImps=610, dayStart=2, dayEnd=4, targetSegment=[HIGH_INCOME, OLD, FEMALE], videoCoef=2.1110927607922525, mobileCoef=1.8295289308326157, budgetMillis=175, advertiser=adv1]
03/12 11:29:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] adv2[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
03/12 11:29:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@4face066 event: tau.tac.adx.messages.UserClassificationServiceNotification@66854b65
03/12 11:29:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=816270395, reachImps=1212, dayStart=3, dayEnd=5, targetSegment=[HIGH_INCOME, MALE, OLD], videoCoef=2.7843253943585653, mobileCoef=2.405578513681963, budgetMillis=0, advertiser=null]
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for tripadvisor
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnn
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 2.0018185714842214E-5
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, YOUNG, FEMALE], adType=text] to 0.0030942504985087033
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 2.579321356162454E-4
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, OLD, FEMALE], adType=text] to 3.978694437348985E-4
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, MALE, YOUNG], adType=text] to 1.619969272700726E-5
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[OLD, LOW_INCOME, FEMALE], adType=text] to 7.341421164119874E-6
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, MALE, YOUNG], adType=video] to 9.069920163414713E-6
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, MALE, OLD], adType=text] to 0.0010953696464451558
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, OLD, FEMALE], adType=video] to 1.437184000325901E-4
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[OLD, LOW_INCOME, FEMALE], adType=video] to 5.843387030975028E-6
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[YOUNG, LOW_INCOME, FEMALE], adType=video] to 0.001850798224799405
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[YOUNG, LOW_INCOME, FEMALE], adType=text] to 0.0017968703225895583
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 1.7609651993466703E-4
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 1.301441801404211E-5
03/12 11:29:10 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[HIGH_INCOME, YOUNG, FEMALE], adType=video] to 0.0032682973901612387
