07/12 00:03:00 FINE sim.Admin|Log for simulation 84 started
************************************************************
* Log for simulation 84 started
************************************************************


07/12 00:03:00 INFO sim.TACAdxSimulation|TACAA Simulation 84 is setting up...
07/12 00:03:00 INFO sim.TACAdxSimulation|Created Adx Agent
07/12 00:03:00 INFO sim.TACAdxSimulation|Created Demand Agent
07/12 00:03:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
07/12 00:03:00 FINE sim.ExternalAgent|agent00 setup with address adv1
07/12 00:03:00 FINE sim.ExternalAgent|sample setup with address adv2
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
07/12 00:03:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
07/12 00:03:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
07/12 00:03:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
07/12 00:03:00 INFO agents.DemandAgent|setting up...
07/12 00:03:00 FINE agents.DemandAgent|Finished setup
07/12 00:03:01 INFO sim.Simulation|***** START OF TIME 0 *****
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1277988603, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.0337959716968803, mobileCoef=2.0072621792502003, budgetMillis=3312, advertiser=adv1]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@39f9cd80
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=287088111, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.4937165480838184, mobileCoef=2.1520186705805537, budgetMillis=7020, advertiser=adv2]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@d361340
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=338038112, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.6948313374975514, mobileCoef=2.4916297618230145, budgetMillis=1932, advertiser=DummyAdnetwork]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@63c447a9
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=373444059, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.3958895549824972, mobileCoef=2.3381844713920765, budgetMillis=9540, advertiser=DummyAdnetwork-2]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@2b53e040
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=263890247, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.425716985113855, mobileCoef=1.9135411641792666, budgetMillis=7020, advertiser=DummyAdnetwork-3]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@4e824216
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1244328584, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.928154483529155, mobileCoef=1.7567189885437324, budgetMillis=6507, advertiser=DummyAdnetwork-4]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@7ecf5a6d
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=604330094, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.940998480075695, mobileCoef=2.090774579612257, budgetMillis=6507, advertiser=DummyAdnetwork-5]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@78cb3c0a
07/12 00:03:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1709719337, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[MALE, OLD], videoCoef=2.5970356414215736, mobileCoef=2.4140720945349323, budgetMillis=6507, advertiser=DummyAdnetwork-6]
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@61f00dcb
07/12 00:03:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@51391610 event: tau.tac.adx.messages.UserClassificationServiceNotification@6f38ffb3
07/12 00:03:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1311941938, reachImps=15904, dayStart=2, dayEnd=11, targetSegment=[HIGH_INCOME], videoCoef=2.5712760964014074, mobileCoef=1.7185710183357297, budgetMillis=0, advertiser=null]
07/12 00:03:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.19749991542216783 Cmp ID: 1311941938 Cmp Bid: 14835
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.1342961958227824 Cmp ID: 1311941938 Cmp Bid: 9943
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.19472327608803658 Cmp ID: 1311941938 Cmp Bid: 15435
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.17194170840689887 Cmp ID: 1311941938 Cmp Bid: 13870
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.19877740512783462 Cmp ID: 1311941938 Cmp Bid: 15141
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.1347651809693335 Cmp ID: 1311941938 Cmp Bid: 11064
07/12 00:03:01 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.1 Cmp ID: 1311941938 Cmp Bid: 1595
07/12 00:03:10 INFO sim.Simulation|***** START OF TIME 1 *****
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #338038112 at price 1.932
07/12 00:03:10 INFO demand.CampaignImpl|Applied daily limit for campaign #338038112 at price 1.932
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #373444059 at price 9.54
07/12 00:03:10 INFO demand.CampaignImpl|Applied daily limit for campaign #373444059 at price 9.54
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #263890247 at price 7.02
07/12 00:03:10 INFO demand.CampaignImpl|Applied daily limit for campaign #263890247 at price 7.02
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1244328584 at price 6.507
07/12 00:03:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1244328584 at price 6.507
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #604330094 at price 6.507
07/12 00:03:10 INFO demand.CampaignImpl|Applied daily limit for campaign #604330094 at price 6.507
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
07/12 00:03:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1709719337 at price 6.507
