03/12 23:30:00 FINE sim.Admin|Log for simulation 49 started
************************************************************
* Log for simulation 49 started
************************************************************


03/12 23:30:00 INFO sim.TACAdxSimulation|TACAA Simulation 49 is setting up...
03/12 23:30:00 INFO sim.TACAdxSimulation|Created Adx Agent
03/12 23:30:00 INFO sim.TACAdxSimulation|Created Demand Agent
03/12 23:30:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
03/12 23:30:00 FINE sim.ExternalAgent|trial1 setup with address adv1
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
03/12 23:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
03/12 23:30:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
03/12 23:30:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
03/12 23:30:00 INFO agents.DemandAgent|setting up...
03/12 23:30:00 FINE agents.DemandAgent|Finished setup
03/12 23:30:01 INFO sim.Simulation|***** START OF TIME 0 *****
03/12 23:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=593378127, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[YOUNG, FEMALE], videoCoef=2.420851865921053, mobileCoef=1.5197915018566124, budgetMillis=5590, advertiser=adv1]
03/12 23:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fd0366e event: tau.tac.adx.messages.UserClassificationServiceNotification@1de794b3
03/12 23:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1800950689, reachImps=9077, dayStart=1, dayEnd=5, targetSegment=[MALE, LOW_INCOME], videoCoef=2.5585897612145647, mobileCoef=2.1658744630934024, budgetMillis=9077, advertiser=DummyAdnetwork]
03/12 23:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fd0366e event: tau.tac.adx.messages.UserClassificationServiceNotification@4aa74bfb
03/12 23:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1154119559, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[MALE, YOUNG], videoCoef=2.6905352281962562, mobileCoef=2.4485707213699657, budgetMillis=5882, advertiser=DummyAdnetwork-2]
03/12 23:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@fd0366e event: tau.tac.adx.messages.UserClassificationServiceNotification@652921a1
03/12 23:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1279636478, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.1706183140743556, mobileCoef=2.4647528736613005, budgetMillis=1657, advertiser=DummyAdnetwork-3]
